year;month;day;hour;PM10;SO2
2016;3;29;9;14.4519024197896;2.02512851046433
2016;3;29;10;12.4032399747212;1.81311609649781
2016;3;29;11;11.8353726158142;1.6694145934079
2016;3;29;12;11.7165279841105;1.73216867756221
2016;3;29;13;11.5329692509969;1.69269596639044
2016;3;29;14;10.9102709785461;1.34391215436575
2016;3;29;15;10.9226911755879;1.49769905247747
2016;3;29;16;11.5017860450744;2.03452729484326
2016;3;29;17;12.9247397018432;1.68852031616215
2016;3;29;18;18.8549627540588;2.00087410600976
2016;3;29;19;32.7275866068522;3.34268785957024
2016;3;29;20;79.5623481811523;4.86361655988068
2016;3;29;21;92.1380764923095;4.5546066614351
2016;3;29;22;140.326704799397;5.88226983648875
2016;3;29;23;109.915955550848;5.10404234660248
2016;3;30;0;92.1657564819336;4.08640816316706
2016;3;30;1;69.2664962158203;3.00907031226917
2016;3;30;2;48.2513669596354;2.63808209545271
2016;3;30;3;37.9566134272257;2.21475751013283
2016;3;30;4;30.874259314982;2.0214887154369
2016;3;30;5;25.704796470642;1.93643727651381
2016;3;30;6;31.1314116455078;5.49680404798803
2016;3;30;7;41.3836792933146;-999
2016;3;30;8;32.4656248901367;25.4992505026062
2016;3;30;9;26.7310399205525;71.1610467034898
2016;3;30;10;18.7706335339864;38.8679341877489
2016;3;30;11;17.6406733080546;74.17711624839
2016;3;30;12;16.1992217620849;53.4714353995728
2016;3;30;13;14.4709114448547;35.3239223175936
2016;3;30;14;14.1493288027445;6.9304708742956
2016;3;30;15;13.3289284215291;2.23418578772011
2016;3;30;16;13.1458052769978;2.39088253294224
2016;3;30;17;13.717857059733;1.80834365961585
2016;3;30;18;17.1136070968627;2.01942505387387
2016;3;30;19;20.6717483998616;2.16613031055361
2016;3;30;20;22.8079395212809;2.09024183288461
2016;3;30;21;25.8506399024963;2.26692057491626
2016;3;30;22;21.8734093882242;4.52423056899513
2016;3;30;23;20.6325687561035;4.83185222305635
2016;3;31;0;23.0497562591552;3.04476874575507
2016;3;31;1;22.9137391560872;3.10253208510682
2016;3;31;2;31.8118379180908;8.90248854186632
2016;3;31;3;29.4625707799275;8.4563409074115
2016;3;31;4;24.1203982543945;4.54665652970247
2016;3;31;5;24.8238286020914;5.50723116047217
2016;3;31;6;29.2983433395385;9.30668806111724
2016;3;31;7;40.6945058949788;7.07595050720139
2016;3;31;8;26.7002544573465;-999
2016;3;31;9;16.3796754369099;52.6225639693459
2016;3;31;10;16.8484080960591;46.1524949756162
2016;3;31;11;15.8907979433695;5.00218829528274
2016;3;31;12;12.1040175043741;1.71656834379206
2016;3;31;13;11.8875906659444;1.6922524129254
2016;3;31;14;11.7076482894897;1.72261302361611
2016;3;31;15;11.319779985555;1.64106717886489
2016;3;31;16;11.3542575693766;1.54998737368975
2016;3;31;17;11.7410656293233;1.6173944020289
2016;3;31;18;14.8585714340209;1.8109000152261
2016;3;31;19;18.5542255282084;1.9971062175594
2016;3;31;20;21.7648455787658;2.69644582221034
2016;3;31;21;35.4718973073323;5.67771886249196
2016;3;31;22;30.4982810048421;4.22983511229725
2016;3;31;23;39.7776212439443;3.56836535843361
2016;4;1;0;58.8049211761474;2.93959753810774
2016;4;1;1;55.0775155741373;2.58908299629603
2016;4;1;2;35.5714111338297;4.18237251645939
2016;4;1;3;29.5685595718383;5.441792721141
2016;4;1;4;27.2379798411051;2.21042308367354
2016;4;1;5;28.2870382451375;2.13564978377611
2016;4;1;6;33.4382680130004;2.38655992544814
2016;4;1;7;27.9067242721557;2.19500276629586
2016;4;1;8;32.4117403940836;2.36661736498615
2016;4;1;9;31.4119469431559;-999
2016;4;1;10;22.9811039667765;2.57712879604763
2016;4;1;11;16.3170819318135;2.65856941943887
2016;4;1;12;14.5125458155314;2.8222930763722
2016;4;1;13;14.1427589337666;2.56985663583006
2016;4;1;14;13.6662258010864;2.26440994939946
2016;4;1;15;13.5636450330098;2.37555856246746
2016;4;1;16;13.5214427035013;2.05672764893027
2016;4;1;17;15.5643304039001;2.11706807042949
2016;4;1;18;17.8923352073669;2.48177055067479
2016;4;1;19;24.8562233812967;3.18460456599429
2016;4;1;20;43.4339128835042;4.17730572384651
2016;4;1;21;37.4891682678222;3.05064184907221
2016;4;1;22;33.4573716888427;2.36362617167568
2016;4;1;23;32.7797945030062;2.04607032059754
2016;4;2;0;27.0885202692667;2.42259690541558
