year;month;day;hour;O3
2016;12;2;19;27.3726665814717
2016;12;2;20;30.482666683197
2016;12;2;21;31.8899999936421
2016;12;2;22;30.2100000381469
2016;12;2;23;30.9276666323343
2016;12;3;0;29.9506666819254
2016;12;3;1;34.4016667366027
2016;12;3;2;36.8733331362406
2016;12;3;3;35.5220833619435
2016;12;3;4;40.2566663742065
2016;12;3;5;47.2920000076294
2016;12;3;6;50.6759999593099
2016;12;3;7;43.5140000025431
2016;12;3;8;43.9220001856486
2016;12;3;9;51.2863330205281
2016;12;3;10;48.7286666234334
2016;12;3;11;54.1713331222534
2016;12;3;12;63.7239997863769
2016;12;3;13;63.6266667683919
2016;12;3;14;65.2186669031778
2016;12;3;15;69.7406670252482
2016;12;3;16;63.0906660397847
2016;12;3;17;68.5616663614908
2016;12;3;18;65.3829999923706
2016;12;3;19;64.7186665217081
2016;12;3;20;62.8383334477742
2016;12;3;21;54.7496667861938
2016;12;3;22;57.4300000508626
2016;12;3;23;59.7489999135335
2016;12;4;0;59.9073333104451
2016;12;4;1;60.2423332850138
2016;12;4;2;59.6808336575826
2016;12;4;3;59.3924998442331
2016;12;4;4;57.9469998041788
2016;12;4;5;57.7586665471394
2016;12;4;6;58.6713335037231
2016;12;4;7;57.9056666056315
2016;12;4;8;52.3420001347859
2016;12;4;9;59.4170000076294
2016;12;4;10;60.693666712443
2016;12;4;11;66.3923331578572
2016;12;4;12;77.1506665547688
2016;12;4;13;82.4060003916422
2016;12;4;14;85.3720003763834
2016;12;4;15;89.5100004831949
2016;12;4;16;85.3830000559489
2016;12;4;17;82.9550001780192
2016;12;4;18;78.3866664886474
2016;12;4;19;72.1780001322428
2016;12;4;20;65.715333366394
2016;12;4;21;62.0039998372395
2016;12;4;22;62.7930000305175
2016;12;4;23;62.7923332214355
2016;12;5;0;62.966333580017
2016;12;5;1;58.3756666819254
2016;12;5;2;50.7250000635782
2016;12;5;3;56.4012501239776
2016;12;5;4;51.6583335876464
2016;12;5;5;51.4020000457763
2016;12;5;6;47.4976665496826
2016;12;5;7;45.6223332087198
2016;12;5;8;44.2696667671203
2016;12;5;9;44.3913334210713
2016;12;5;10;58.6333333969116
2016;12;5;11;66.9753339131673
2016;12;5;12;-999
2016;12;5;13;81.4260003407796
2016;12;5;14;83.9833332061767
2016;12;5;15;86.6356666564941
2016;12;5;16;86.4386669158935
2016;12;5;17;84.5203337351481
2016;12;5;18;74.5073331197102
2016;12;5;19;69.84633324941
2016;12;5;20;65.1520001729329
2016;12;5;21;65.6700003306071
2016;12;5;22;54.8563332875569
2016;12;5;23;53.2203336715698
2016;12;6;0;57.0619999567667
2016;12;6;1;55.7546667734781
2016;12;6;2;54.2704166571299
2016;12;6;3;55.5412499109903
2016;12;6;4;45.2626665115356
2016;12;6;5;42.4816668192545
2016;12;6;6;37.5753334681193
2016;12;6;7;38.9946667989095
2016;12;6;8;37.7073334376017
2016;12;6;9;47.394333076477
2016;12;6;10;50.337000020345
2016;12;6;11;55.0716662724812
2016;12;6;12;60.0083330790201
2016;12;6;13;65.7496667226155
2016;12;6;14;71.7503336588541
2016;12;6;15;69.6296672185262
2016;12;6;16;73.3793333689371
2016;12;6;17;72.7793334960937
2016;12;6;18;62.8206668853759
2016;12;6;19;59.3066667556762
2016;12;6;20;46.6240001042683
2016;12;6;21;54.5256665547688
2016;12;6;22;48.2129997253417
2016;12;6;23;39.0363335291544
2016;12;7;0;36.9033330599466
2016;12;7;1;36.4150000572204
2016;12;7;2;42.8612500826517
2016;12;7;3;47.3149998982747
2016;12;7;4;50.2993333816528
2016;12;7;5;50.1549999872843
2016;12;7;6;52.4200001716613
2016;12;7;7;52.6476665496826
2016;12;7;8;55.8163331985473
2016;12;7;9;48.0419999440511
2016;12;7;10;59.1909999847412
2016;12;7;11;71.704999478658
2016;12;7;12;79.6940006256103
2016;12;7;13;85.0883336385091
2016;12;7;14;86.6589995066324
2016;12;7;15;83.9516663869222
2016;12;7;16;77.1450000762939
2016;12;7;17;73.7633335113525
2016;12;7;18;68.8980000813802
2016;12;7;19;70.494000116984
2016;12;7;20;71.3176664988199
2016;12;7;21;71.4056668599446
2016;12;7;22;68.5043329874674
2016;12;7;23;67.4579996744791
2016;12;8;0;66.7100002288818
2016;12;8;1;65.4930001576741
2016;12;8;2;62.7433333396911
2016;12;8;3;60.6199998060862
2016;12;8;4;59.679000155131
2016;12;8;5;59.3193333307902
2016;12;8;6;58.1759998321533
2016;12;8;7;55.9540000279744
2016;12;8;8;55.5569998423258
2016;12;8;9;55.8883331934611
2016;12;8;10;54.1713332494099
2016;12;8;11;63.4793330510457
2016;12;8;12;71.3809997558593
2016;12;8;13;76.1596664428711
2016;12;8;14;79.8896668752034
2016;12;8;15;82.236666615804
2016;12;8;16;83.790333811442
2016;12;8;17;78.464999961853
2016;12;8;18;54.2010002454121
2016;12;8;19;57.9006668726603
2016;12;8;20;61.9086664835612
2016;12;8;21;57.6933332443237
2016;12;8;22;50.8396668752034
2016;12;8;23;45.0433332443237
2016;12;9;0;41.2786668141683
2016;12;9;1;43.1386668205261
2016;12;9;2;43.6941664218902
2016;12;9;3;41.9329170385996
2016;12;9;4;44.4756665547688
2016;12;9;5;38.0439995765686
2016;12;9;6;35.5893331845601
2016;12;9;7;41.8316666920979
2016;12;9;8;41.2616665522257
2016;12;9;9;44.9910000483195
2016;12;9;10;49.2990001678466
2016;12;9;11;60.4179998397827
2016;12;9;12;67.6356665293375
2016;12;9;13;72.9133333841959
2016;12;9;14;78.4526668548583
2016;12;9;15;82.4886665344238
2016;12;9;16;83.9333334604899
2016;12;9;17;85.7566669464111
2016;12;9;18;69.8469998041788
2016;12;9;19;68.1093333562215
2016;12;9;20;57.7403335571289
2016;12;9;21;54.6639999389648
2016;12;9;22;45.171666431427
2016;12;9;23;48.0333335876464
2016;12;10;0;48.0486663182576
2016;12;10;1;41.4396666844685
2016;12;10;2;37.3895833094914
2016;12;10;3;42.914583603541
2016;12;10;4;41.7070000330607
2016;12;10;5;40.5070000330607
2016;12;10;6;37.962333424886
2016;12;10;7;37.4816667556762
2016;12;10;8;35.1806666374206
2016;12;10;9;41.4743333180745
2016;12;10;10;52.3130001703898
2016;12;10;11;54.3740000406901
2016;12;10;12;62.3633333206176
2016;12;10;13;71.8373339335123
2016;12;10;14;79.2373327891031
2016;12;10;15;79.3026662190755
2016;12;10;16;82.4479999542236
2016;12;10;17;81.3700003306071
2016;12;10;18;76.9556664784749
2016;12;10;19;64.1323331197102
2016;12;10;20;62.0899998982747
2016;12;10;21;59.0316667556762
2016;12;10;22;52.1203332901001
2016;12;10;23;40.6086665471394
2016;12;11;0;42.5749999364217
2016;12;11;1;42.213000233968
2016;12;11;2;44.1737500826517
2016;12;11;3;36.445416688919
2016;12;11;4;34.5266668637593
2016;12;11;5;34.462666606903
2016;12;11;6;34.8549999872843
2016;12;11;7;31.1573334058125
2016;12;11;8;31.8683332761128
2016;12;11;9;41.5346667289733
2016;12;11;10;53.1779996871948
2016;12;11;11;56.6116668065389
2016;12;11;12;69.4329996109008
2016;12;11;13;79.9070003509521
2016;12;11;14;86.3850002288818
2016;12;11;15;85.3466668446858
2016;12;11;16;85.9996669769287
2016;12;11;17;83.7219997406005
2016;12;11;18;78.4410001118978
2016;12;11;19;68.6489997863769
2016;12;11;20;65.2476664861043
